,상품명,가격,이미지 경로,이미지 개수
10,와이드 스트레이트 데님,"54,000원","['./상품이미지/바지/데님팬츠/와이드 스트레이트 데님1.jpg', './상품이미지/바지/데님팬츠/와이드 스트레이트 데님2.jpg', './상품이미지/바지/데님팬츠/와이드 스트레이트 데님3.jpg']",3
11,카펜터 카고 팬츠 블랙,"58,500원",['./상품이미지/바지/데님팬츠/카펜터 카고 팬츠 블랙1.jpg'],1
12,가을용 커버밴드 이염없는 생지 와이드루즈 데님 M,"52,200원","['./상품이미지/바지/데님팬츠/가을용 커버밴드 이염없는 생지 와이드루즈 데님47.jpg', './상품이미지/바지/데님팬츠/가을용 커버밴드 이염없는 생지 와이드루즈 데님46.jpg', './상품이미지/바지/데님팬츠/가을용 커버밴드 이염없는 생지 와이드루즈 데님16.jpg']",3
13,커버밴드 와이드 루즈 데미지워싱 데님 G,"49,500원","['./상품이미지/바지/데님팬츠/커버밴드 와이드 루즈 데미지워싱 데님50.jpg', './상품이미지/바지/데님팬츠/커버밴드 와이드 루즈 데미지워싱 데님24.jpg', './상품이미지/바지/데님팬츠/커버밴드 와이드 루즈 데미지워싱 데님55.jpg']",3
14,딥 베이직 롱 와이드 스트레이트 데님,"45,000원","['./상품이미지/바지/데님팬츠/딥 베이직 롱 와이드 스트레이트 데님1.jpg', './상품이미지/바지/데님팬츠/딥 베이직 롱 와이드 스트레이트 데님2.jpg', './상품이미지/바지/데님팬츠/딥 베이직 롱 와이드 스트레이트 데님3.jpg']",3
15,BUCKLE WIDE DENIM PANTS SELVAGEBLACK,"34,500원","['./상품이미지/바지/데님팬츠/BUCKLE WIDE DENIM PANTS SELVAGEBLACK1.jpg', './상품이미지/바지/데님팬츠/BUCKLE WIDE DENIM PANTS SELVAGEBLACK2.jpg', './상품이미지/바지/데님팬츠/BUCKLE WIDE DENIM PANTS SELVAGEBLACK3.jpg']",3
16,롤업 하이라이즈 진_인디고,"71,200원","['./상품이미지/바지/데님팬츠/롤업 하이라이즈 진_인디고1.jpg', './상품이미지/바지/데님팬츠/롤업 하이라이즈 진_인디고2.jpg', './상품이미지/바지/데님팬츠/롤업 하이라이즈 진_인디고3.jpg']",3
17,우먼즈 스트레이트 데님 팬츠,"39,900원","['./상품이미지/바지/데님팬츠/우먼즈 스트레이트 데님 팬츠1.jpg', './상품이미지/바지/데님팬츠/우먼즈 스트레이트 데님 팬츠2.jpg', './상품이미지/바지/데님팬츠/우먼즈 스트레이트 데님 팬츠3.jpg']",3
18,우먼즈 맘 핏 데님 팬츠,"39,900원","['./상품이미지/바지/데님팬츠/우먼즈 맘 핏 데님 팬츠1.jpg', './상품이미지/바지/데님팬츠/우먼즈 맘 핏 데님 팬츠2.jpg', './상품이미지/바지/데님팬츠/우먼즈 맘 핏 데님 팬츠3.jpg']",3
19,BUCKLE WIDE DENIM PANTS SELVAGEBLUE,"48,300원","['./상품이미지/바지/데님팬츠/BUCKLE WIDE DENIM PANTS SELVAGEBLUE1.jpg', './상품이미지/바지/데님팬츠/BUCKLE WIDE DENIM PANTS SELVAGEBLUE2.jpg', './상품이미지/바지/데님팬츠/BUCKLE WIDE DENIM PANTS SELVAGEBLUE3.jpg']",3
20,우먼즈 맘 핏 데님 팬츠 G,"39,900원","['./상품이미지/바지/데님팬츠/우먼즈 맘 핏 데님 팬츠88.jpg', './상품이미지/바지/데님팬츠/우먼즈 맘 핏 데님 팬츠75.jpg', './상품이미지/바지/데님팬츠/우먼즈 맘 핏 데님 팬츠47.jpg']",3
21,스트레이트 슬릿 데님팬츠,"74,000원",['./상품이미지/바지/데님팬츠/스트레이트 슬릿 데님팬츠1.jpg'],1
22,NOI023 스트레이트 루즈핏 데님 팬츠,"39,000원",['./상품이미지/바지/데님팬츠/NOI023 스트레이트 루즈핏 데님 팬츠1.jpg'],1
23,데님 팬츠 W 블루 HU1638,"109,900원","['./상품이미지/바지/데님팬츠/데님 팬츠 W 블루 HU16381.jpg', './상품이미지/바지/데님팬츠/데님 팬츠 W 블루 HU16382.jpg', './상품이미지/바지/데님팬츠/데님 팬츠 W 블루 HU16383.jpg']",3
24,스판부츠컷 데님 팬츠,"76,000원",['./상품이미지/바지/데님팬츠/스판부츠컷 데님 팬츠1.jpg'],1
25,파우더리 와이드 코튼 팬츠 소프트 핑크,"89,000원",['./상품이미지/바지/데님팬츠/파우더리 와이드 코튼 팬츠 소프트 핑크1.jpg'],1
26,파우더리 와이드 코튼 팬츠 아이보리,"89,000원",['./상품이미지/바지/데님팬츠/파우더리 와이드 코튼 팬츠 아이보리1.jpg'],1
27,피그먼트 워싱 그레이 데님 팬츠,"56,000원",['./상품이미지/바지/데님팬츠/피그먼트 워싱 그레이 데님 팬츠1.jpg'],1
28,르닛 9106 칼라데님 팬츠 _ 미디움 인디고,"79,000원","['./상품이미지/바지/데님팬츠/르닛 9106 칼라데님 팬츠 _ 미디움 인디고1.jpg', './상품이미지/바지/데님팬츠/르닛 9106 칼라데님 팬츠 _ 미디움 인디고2.jpg', './상품이미지/바지/데님팬츠/르닛 9106 칼라데님 팬츠 _ 미디움 인디고3.jpg']",3
29,르닛 9106 칼라데님 팬츠 _ 그레이,"79,000원","['./상품이미지/바지/데님팬츠/르닛 9106 칼라데님 팬츠 _ 그레이1.jpg', './상품이미지/바지/데님팬츠/르닛 9106 칼라데님 팬츠 _ 그레이2.jpg', './상품이미지/바지/데님팬츠/르닛 9106 칼라데님 팬츠 _ 그레이3.jpg']",3
30,르닛 9106 칼라데님 팬츠 _ 블랙,"79,000원","['./상품이미지/바지/데님팬츠/르닛 9106 칼라데님 팬츠 _ 블랙1.jpg', './상품이미지/바지/데님팬츠/르닛 9106 칼라데님 팬츠 _ 블랙2.jpg', './상품이미지/바지/데님팬츠/르닛 9106 칼라데님 팬츠 _ 블랙3.jpg']",3
31,커버밴드 와이드 크롭 컷팅 데님,"49,500원","['./상품이미지/바지/데님팬츠/커버밴드 와이드 크롭 컷팅 데님1.jpg', './상품이미지/바지/데님팬츠/커버밴드 와이드 크롭 컷팅 데님2.jpg', './상품이미지/바지/데님팬츠/커버밴드 와이드 크롭 컷팅 데님3.jpg']",3
32,가을용 커버밴드 하이웨스트 루즈 와이드 데님,"46,800원","['./상품이미지/바지/데님팬츠/가을용 커버밴드 하이웨스트 루즈 와이드 데님1.jpg', './상품이미지/바지/데님팬츠/가을용 커버밴드 하이웨스트 루즈 와이드 데님2.jpg', './상품이미지/바지/데님팬츠/가을용 커버밴드 하이웨스트 루즈 와이드 데님3.jpg']",3
33,Dumbo Jeans Mid blue,"159,000원","['./상품이미지/바지/데님팬츠/Dumbo Jeans Mid blue1.jpg', './상품이미지/바지/데님팬츠/Dumbo Jeans Mid blue2.jpg']",2
34,Buckle Jeans,"49,000원","['./상품이미지/바지/데님팬츠/Buckle Jeans1.jpg', './상품이미지/바지/데님팬츠/Buckle Jeans2.jpg', './상품이미지/바지/데님팬츠/Buckle Jeans3.jpg']",3
35,SI JN 6028 stretch retro bootcut jeans,"113,000원",['./상품이미지/바지/데님팬츠/SI JN 6028 stretch retro bootcut jeans1.jpg'],1
36,기모 커버밴드 하이웨스트 와이드 루즈 데님,"28,500원","['./상품이미지/바지/데님팬츠/기모 커버밴드 하이웨스트 와이드 루즈 데님1.jpg', './상품이미지/바지/데님팬츠/기모 커버밴드 하이웨스트 와이드 루즈 데님2.jpg', './상품이미지/바지/데님팬츠/기모 커버밴드 하이웨스트 와이드 루즈 데님3.jpg']",3
37,Berries denim pants in Light blue,"69,350원",['./상품이미지/바지/데님팬츠/Berries denim pants in Light blue1.jpg'],1
38,키르시 칼라 샌딩 팬츠,"98,100원","['./상품이미지/바지/데님팬츠/키르시 칼라 샌딩 팬츠1.jpg', './상품이미지/바지/데님팬츠/키르시 칼라 샌딩 팬츠2.jpg', './상품이미지/바지/데님팬츠/키르시 칼라 샌딩 팬츠3.jpg']",3
39,키르시 칼라 샌딩 팬츠 L,"98,100원","['./상품이미지/바지/데님팬츠/키르시 칼라 샌딩 팬츠47.jpg', './상품이미지/바지/데님팬츠/키르시 칼라 샌딩 팬츠70.jpg', './상품이미지/바지/데님팬츠/키르시 칼라 샌딩 팬츠75.jpg']",3
40,스트레이트 세미 와이드 피그먼트 데님_pink,"49,000원",['./상품이미지/바지/데님팬츠/스트레이트 세미 와이드 피그먼트 데님_pink1.jpg'],1
41,우먼즈 와이드 데님 팬츠 T,"39,900원","['./상품이미지/바지/데님팬츠/우먼즈 와이드 데님 팬츠46.jpg', './상품이미지/바지/데님팬츠/우먼즈 와이드 데님 팬츠13.jpg', './상품이미지/바지/데님팬츠/우먼즈 와이드 데님 팬츠85.jpg']",3
42,커버밴드 이염제로 생지 밑단컷팅 롱 루즈 부츠컷 데님,"58,500원","['./상품이미지/바지/데님팬츠/커버밴드 이염제로 생지 밑단컷팅 롱 루즈 부츠컷 데님1.jpg', './상품이미지/바지/데님팬츠/커버밴드 이염제로 생지 밑단컷팅 롱 루즈 부츠컷 데님2.jpg', './상품이미지/바지/데님팬츠/커버밴드 이염제로 생지 밑단컷팅 롱 루즈 부츠컷 데님3.jpg']",3
43,우먼즈 스트레이트 데님 팬츠 K,"39,900원","['./상품이미지/바지/데님팬츠/우먼즈 스트레이트 데님 팬츠69.jpg', './상품이미지/바지/데님팬츠/우먼즈 스트레이트 데님 팬츠52.jpg', './상품이미지/바지/데님팬츠/우먼즈 스트레이트 데님 팬츠75.jpg']",3
44,Trail Jeans,"47,000원","['./상품이미지/바지/데님팬츠/Trail Jeans1.jpg', './상품이미지/바지/데님팬츠/Trail Jeans2.jpg', './상품이미지/바지/데님팬츠/Trail Jeans3.jpg']",3
45,Denim Tuck Pants,"86,000원","['./상품이미지/바지/데님팬츠/Denim Tuck Pants1.jpg', './상품이미지/바지/데님팬츠/Denim Tuck Pants2.jpg', './상품이미지/바지/데님팬츠/Denim Tuck Pants3.jpg']",3
46,W 카버 7801 하이웨이스트 세미와이드핏 미디움인디고 데님팬츠,"59,500원","['./상품이미지/바지/데님팬츠/W 카버 7801 하이웨이스트 세미와이드핏 미디움인디고 데님팬츠1.jpg', './상품이미지/바지/데님팬츠/W 카버 7801 하이웨이스트 세미와이드핏 미디움인디고 데님팬츠2.jpg', './상품이미지/바지/데님팬츠/W 카버 7801 하이웨이스트 세미와이드핏 미디움인디고 데님팬츠3.jpg']",3
47,bootscut denim pant,"98,100원","['./상품이미지/바지/데님팬츠/bootscut denim pant1.jpg', './상품이미지/바지/데님팬츠/bootscut denim pant2.jpg', './상품이미지/바지/데님팬츠/bootscut denim pant3.jpg']",3
48,SLIM BAGGY DENIM PANTS,"128,000원","['./상품이미지/바지/데님팬츠/SLIM BAGGY DENIM PANTS1.jpg', './상품이미지/바지/데님팬츠/SLIM BAGGY DENIM PANTS2.jpg', './상품이미지/바지/데님팬츠/SLIM BAGGY DENIM PANTS3.jpg']",3
49,W50 와이드 데님 팬츠_흑청,"37,900원",['./상품이미지/바지/데님팬츠/W50 와이드 데님 팬츠_흑청1.jpg'],1
50,Cuddle Jeans,"47,000원","['./상품이미지/바지/데님팬츠/Cuddle Jeans1.jpg', './상품이미지/바지/데님팬츠/Cuddle Jeans2.jpg', './상품이미지/바지/데님팬츠/Cuddle Jeans3.jpg']",3
51,Aurora Jeans,"52,000원","['./상품이미지/바지/데님팬츠/Aurora Jeans1.jpg', './상품이미지/바지/데님팬츠/Aurora Jeans2.jpg', './상품이미지/바지/데님팬츠/Aurora Jeans3.jpg']",3
52,Lucas Jeans,"39,000원","['./상품이미지/바지/데님팬츠/Lucas Jeans1.jpg', './상품이미지/바지/데님팬츠/Lucas Jeans2.jpg', './상품이미지/바지/데님팬츠/Lucas Jeans3.jpg']",3
53,Lucy Jeans,"44,000원","['./상품이미지/바지/데님팬츠/Lucy Jeans1.jpg', './상품이미지/바지/데님팬츠/Lucy Jeans2.jpg', './상품이미지/바지/데님팬츠/Lucy Jeans3.jpg']",3
54,Glue Jeans,"35,000원","['./상품이미지/바지/데님팬츠/Glue Jeans1.jpg', './상품이미지/바지/데님팬츠/Glue Jeans2.jpg', './상품이미지/바지/데님팬츠/Glue Jeans3.jpg']",3
55,Tool Jeans,"39,000원","['./상품이미지/바지/데님팬츠/Tool Jeans1.jpg', './상품이미지/바지/데님팬츠/Tool Jeans2.jpg', './상품이미지/바지/데님팬츠/Tool Jeans3.jpg']",3
56,Wisome Jeans,"49,000원","['./상품이미지/바지/데님팬츠/Wisome Jeans1.jpg', './상품이미지/바지/데님팬츠/Wisome Jeans2.jpg', './상품이미지/바지/데님팬츠/Wisome Jeans3.jpg']",3
57,Surreal Jeans,"45,000원","['./상품이미지/바지/데님팬츠/Surreal Jeans1.jpg', './상품이미지/바지/데님팬츠/Surreal Jeans2.jpg', './상품이미지/바지/데님팬츠/Surreal Jeans3.jpg']",3
58,우먼즈 맘 핏 데님 팬츠 H,"39,900원","['./상품이미지/바지/데님팬츠/우먼즈 맘 핏 데님 팬츠87.jpg', './상품이미지/바지/데님팬츠/우먼즈 맘 핏 데님 팬츠76.jpg', './상품이미지/바지/데님팬츠/우먼즈 맘 핏 데님 팬츠27.jpg']",3
59,Black Jack Jeans,"49,000원","['./상품이미지/바지/데님팬츠/Black Jack Jeans1.jpg', './상품이미지/바지/데님팬츠/Black Jack Jeans2.jpg', './상품이미지/바지/데님팬츠/Black Jack Jeans3.jpg']",3
60,우먼즈 스트레이트 데님 팬츠 Z,"39,900원","['./상품이미지/바지/데님팬츠/우먼즈 스트레이트 데님 팬츠90.jpg', './상품이미지/바지/데님팬츠/우먼즈 스트레이트 데님 팬츠33.jpg', './상품이미지/바지/데님팬츠/우먼즈 스트레이트 데님 팬츠28.jpg']",3
61,Reverse Block Denim Pants Light Denimreverse,"124,200원",['./상품이미지/바지/데님팬츠/Reverse Block Denim Pants Light Denimreverse1.jpg'],1
62,Mid Jeans,"43,000원","['./상품이미지/바지/데님팬츠/Mid Jeans1.jpg', './상품이미지/바지/데님팬츠/Mid Jeans2.jpg', './상품이미지/바지/데님팬츠/Mid Jeans3.jpg']",3
63,Until Jeans,"47,000원","['./상품이미지/바지/데님팬츠/Until Jeans1.jpg', './상품이미지/바지/데님팬츠/Until Jeans2.jpg', './상품이미지/바지/데님팬츠/Until Jeans3.jpg']",3
64,스트레이트 코튼 팬츠 화이트 MDPT012WHITE,"69,000원","['./상품이미지/바지/데님팬츠/스트레이트 코튼 팬츠 화이트 MDPT012WHITE1.jpg', './상품이미지/바지/데님팬츠/스트레이트 코튼 팬츠 화이트 MDPT012WHITE2.jpg', './상품이미지/바지/데님팬츠/스트레이트 코튼 팬츠 화이트 MDPT012WHITE3.jpg']",3
65,lotsyou_clueless bootscut denim light blue,"143,100원","['./상품이미지/바지/데님팬츠/lotsyou_clueless bootscut denim light blue1.jpg', './상품이미지/바지/데님팬츠/lotsyou_clueless bootscut denim light blue2.jpg', './상품이미지/바지/데님팬츠/lotsyou_clueless bootscut denim light blue3.jpg']",3
66,Via Denim,"83,000원",['./상품이미지/바지/데님팬츠/Via Denim1.jpg'],1
67,스카이 블루 턴업 데님 팬츠_와이드핏,"49,900원","['./상품이미지/바지/데님팬츠/스카이 블루 턴업 데님 팬츠_와이드핏1.jpg', './상품이미지/바지/데님팬츠/스카이 블루 턴업 데님 팬츠_와이드핏2.jpg', './상품이미지/바지/데님팬츠/스카이 블루 턴업 데님 팬츠_와이드핏3.jpg']",3
68,아이보리 롱 데님 팬츠_맘핏,"49,900원","['./상품이미지/바지/데님팬츠/아이보리 롱 데님 팬츠_맘핏1.jpg', './상품이미지/바지/데님팬츠/아이보리 롱 데님 팬츠_맘핏2.jpg', './상품이미지/바지/데님팬츠/아이보리 롱 데님 팬츠_맘핏3.jpg']",3
69,슬림핏 데님팬츠_1color,"75,000원",['./상품이미지/바지/데님팬츠/슬림핏 데님팬츠_1color1.jpg'],1
70,Sunrise Jeans Orange,"53,000원","['./상품이미지/바지/데님팬츠/Sunrise Jeans Orange1.jpg', './상품이미지/바지/데님팬츠/Sunrise Jeans Orange2.jpg', './상품이미지/바지/데님팬츠/Sunrise Jeans Orange3.jpg']",3
71,Sunrise Jeans Blue,"53,000원","['./상품이미지/바지/데님팬츠/Sunrise Jeans Blue1.jpg', './상품이미지/바지/데님팬츠/Sunrise Jeans Blue2.jpg', './상품이미지/바지/데님팬츠/Sunrise Jeans Blue3.jpg']",3
72,스카이 블루 롱 워싱 데님 팬츠_루즈 스트레이트핏,"49,900원","['./상품이미지/바지/데님팬츠/스카이 블루 롱 워싱 데님 팬츠_루즈 스트레이트핏1.jpg', './상품이미지/바지/데님팬츠/스카이 블루 롱 워싱 데님 팬츠_루즈 스트레이트핏2.jpg', './상품이미지/바지/데님팬츠/스카이 블루 롱 워싱 데님 팬츠_루즈 스트레이트핏3.jpg']",3
73,네이비 롱 워싱 데님 팬츠_루즈 스트레이트핏,"49,900원","['./상품이미지/바지/데님팬츠/네이비 롱 워싱 데님 팬츠_루즈 스트레이트핏1.jpg', './상품이미지/바지/데님팬츠/네이비 롱 워싱 데님 팬츠_루즈 스트레이트핏2.jpg', './상품이미지/바지/데님팬츠/네이비 롱 워싱 데님 팬츠_루즈 스트레이트핏3.jpg']",3
74,Wrinkle Jeans,"52,000원","['./상품이미지/바지/데님팬츠/Wrinkle Jeans1.jpg', './상품이미지/바지/데님팬츠/Wrinkle Jeans2.jpg', './상품이미지/바지/데님팬츠/Wrinkle Jeans3.jpg']",3
75,라벤더 인심 트임 데님팬츠_스트레이트핏,"49,900원","['./상품이미지/바지/데님팬츠/라벤더 인심 트임 데님팬츠_스트레이트핏1.jpg', './상품이미지/바지/데님팬츠/라벤더 인심 트임 데님팬츠_스트레이트핏2.jpg', './상품이미지/바지/데님팬츠/라벤더 인심 트임 데님팬츠_스트레이트핏3.jpg']",3
76,르닛 9102 하이라이즈 와이드 데님팬츠_다크 그레이,"69,900원","['./상품이미지/바지/데님팬츠/르닛 9102 하이라이즈 와이드 데님팬츠_다크 그레이1.jpg', './상품이미지/바지/데님팬츠/르닛 9102 하이라이즈 와이드 데님팬츠_다크 그레이2.jpg', './상품이미지/바지/데님팬츠/르닛 9102 하이라이즈 와이드 데님팬츠_다크 그레이3.jpg']",3
77,우먼즈 스트레이트 데님 팬츠 Q,"39,900원","['./상품이미지/바지/데님팬츠/우먼즈 스트레이트 데님 팬츠40.jpg', './상품이미지/바지/데님팬츠/우먼즈 스트레이트 데님 팬츠97.jpg', './상품이미지/바지/데님팬츠/우먼즈 스트레이트 데님 팬츠41.jpg']",3
78,Reverse Block Denim Pants Indigo Denimreverse,"124,200원",['./상품이미지/바지/데님팬츠/Reverse Block Denim Pants Indigo Denimreverse1.jpg'],1
79,컷팅 배색 와이드 데님 팬츠_LIGHT BLUE,"79,200원",['./상품이미지/바지/데님팬츠/컷팅 배색 와이드 데님 팬츠_LIGHT BLUE1.jpg'],1
80,NOI446 세미 와이드 부츠컷 데님 팬츠,"43,200원",['./상품이미지/바지/데님팬츠/NOI446 세미 와이드 부츠컷 데님 팬츠1.jpg'],1
81,W 카버 7801 하이웨이스트 세미와이드핏 다크인디고 데님팬츠,"59,500원","['./상품이미지/바지/데님팬츠/W 카버 7801 하이웨이스트 세미와이드핏 다크인디고 데님팬츠1.jpg', './상품이미지/바지/데님팬츠/W 카버 7801 하이웨이스트 세미와이드핏 다크인디고 데님팬츠2.jpg']",2
82,시크릿밴드 라이트워싱 컷팅슬림부츠컷 팬츠,"54,900원","['./상품이미지/바지/데님팬츠/시크릿밴드 라이트워싱 컷팅슬림부츠컷 팬츠1.jpg', './상품이미지/바지/데님팬츠/시크릿밴드 라이트워싱 컷팅슬림부츠컷 팬츠2.jpg', './상품이미지/바지/데님팬츠/시크릿밴드 라이트워싱 컷팅슬림부츠컷 팬츠3.jpg']",3
83,라이트 베이직 롱 와이드 스트레이트 데님,"45,000원","['./상품이미지/바지/데님팬츠/라이트 베이직 롱 와이드 스트레이트 데님1.jpg', './상품이미지/바지/데님팬츠/라이트 베이직 롱 와이드 스트레이트 데님2.jpg', './상품이미지/바지/데님팬츠/라이트 베이직 롱 와이드 스트레이트 데님3.jpg']",3
84,Smog jeans,"65,000원","['./상품이미지/바지/데님팬츠/Smog jeans1.jpg', './상품이미지/바지/데님팬츠/Smog jeans2.jpg', './상품이미지/바지/데님팬츠/Smog jeans3.jpg']",3
85,PANACEA DENIM PANTS,"148,000원","['./상품이미지/바지/데님팬츠/PANACEA DENIM PANTS1.jpg', './상품이미지/바지/데님팬츠/PANACEA DENIM PANTS2.jpg', './상품이미지/바지/데님팬츠/PANACEA DENIM PANTS3.jpg']",3
86,Liar jeans,"62,000원","['./상품이미지/바지/데님팬츠/Liar jeans1.jpg', './상품이미지/바지/데님팬츠/Liar jeans2.jpg', './상품이미지/바지/데님팬츠/Liar jeans3.jpg']",3
87,키르시 하이웨스트 코팅 데님 팬츠,"98,100원","['./상품이미지/바지/데님팬츠/키르시 하이웨스트 코팅 데님 팬츠1.jpg', './상품이미지/바지/데님팬츠/키르시 하이웨스트 코팅 데님 팬츠2.jpg', './상품이미지/바지/데님팬츠/키르시 하이웨스트 코팅 데님 팬츠3.jpg']",3
88,Row Crop Jeans,"67,000원","['./상품이미지/바지/데님팬츠/Row Crop Jeans1.jpg', './상품이미지/바지/데님팬츠/Row Crop Jeans2.jpg', './상품이미지/바지/데님팬츠/Row Crop Jeans3.jpg']",3
89,PANACEA DENIM PANTS R,"148,000원","['./상품이미지/바지/데님팬츠/PANACEA DENIM PANTS43.jpg', './상품이미지/바지/데님팬츠/PANACEA DENIM PANTS100.jpg', './상품이미지/바지/데님팬츠/PANACEA DENIM PANTS90.jpg']",3
