,상품명,가격,이미지 경로,이미지 개수
26,커버밴드 세미 와이드 루즈 부츠컷 슬랙스,"46,800원","['./상품이미지/바지/슬랙스/커버밴드 세미 와이드 루즈 부츠컷 슬랙스1.jpg', './상품이미지/바지/슬랙스/커버밴드 세미 와이드 루즈 부츠컷 슬랙스2.jpg', './상품이미지/바지/슬랙스/커버밴드 세미 와이드 루즈 부츠컷 슬랙스3.jpg']",3
27,Kenzie Slacks Beige,"39,000원","['./상품이미지/바지/슬랙스/Kenzie Slacks Beige1.jpg', './상품이미지/바지/슬랙스/Kenzie Slacks Beige2.jpg', './상품이미지/바지/슬랙스/Kenzie Slacks Beige3.jpg']",3
28,Kenzie Slacks Cream,"39,000원","['./상품이미지/바지/슬랙스/Kenzie Slacks Cream1.jpg', './상품이미지/바지/슬랙스/Kenzie Slacks Cream2.jpg', './상품이미지/바지/슬랙스/Kenzie Slacks Cream3.jpg']",3
29,SI PT 7041 tailored bootcut trousers_Charcoal,"148,000원",['./상품이미지/바지/슬랙스/SI PT 7041 tailored bootcut trousers_Charcoal1.jpg'],1
30,SI PT 7043 tailored straightfit trousers_Black,"135,000원",['./상품이미지/바지/슬랙스/SI PT 7043 tailored straightfit trousers_Black1.jpg'],1
31,SI PT 7043 tailored straightfit trousers_Charcoal,"135,000원",['./상품이미지/바지/슬랙스/SI PT 7043 tailored straightfit trousers_Charcoal1.jpg'],1
32,SI PT 7041 tailored bootcut trousers_Navy,"148,000원",['./상품이미지/바지/슬랙스/SI PT 7041 tailored bootcut trousers_Navy1.jpg'],1
33,SI PT 7041 tailored bootcut trousers_Ash beige,"148,000원",['./상품이미지/바지/슬랙스/SI PT 7041 tailored bootcut trousers_Ash beige1.jpg'],1
34,루시 더블 핀턱 팬츠_옐로우,"88,000원","['./상품이미지/바지/슬랙스/루시 더블 핀턱 팬츠_옐로우1.jpg', './상품이미지/바지/슬랙스/루시 더블 핀턱 팬츠_옐로우2.jpg']",2
35,루시 더블 핀턱 팬츠_아이보리,"88,000원","['./상품이미지/바지/슬랙스/루시 더블 핀턱 팬츠_아이보리1.jpg', './상품이미지/바지/슬랙스/루시 더블 핀턱 팬츠_아이보리2.jpg']",2
36,Kenzie Slacks Black,"39,000원","['./상품이미지/바지/슬랙스/Kenzie Slacks Black1.jpg', './상품이미지/바지/슬랙스/Kenzie Slacks Black2.jpg', './상품이미지/바지/슬랙스/Kenzie Slacks Black3.jpg']",3
37,Double hook wide pants in Beige,"71,250원",['./상품이미지/바지/슬랙스/Double hook wide pants in Beige1.jpg'],1
38,Double hook wide pants in Black,"71,250원",['./상품이미지/바지/슬랙스/Double hook wide pants in Black1.jpg'],1
39,WOOL BLEND LONG WIDE SLACKS_GREY,"62,550원","['./상품이미지/바지/슬랙스/WOOL BLEND LONG WIDE SLACKS_GREY1.jpg', './상품이미지/바지/슬랙스/WOOL BLEND LONG WIDE SLACKS_GREY2.jpg', './상품이미지/바지/슬랙스/WOOL BLEND LONG WIDE SLACKS_GREY3.jpg']",3
40,Basic Pants,"86,000원","['./상품이미지/바지/슬랙스/Basic Pants1.jpg', './상품이미지/바지/슬랙스/Basic Pants2.jpg', './상품이미지/바지/슬랙스/Basic Pants3.jpg']",3
41,single wide trouser_black,"98,100원","['./상품이미지/바지/슬랙스/single wide trouser_black1.jpg', './상품이미지/바지/슬랙스/single wide trouser_black2.jpg', './상품이미지/바지/슬랙스/single wide trouser_black3.jpg']",3
42,setup trouser_mint gray,"98,100원","['./상품이미지/바지/슬랙스/setup trouser_mint gray1.jpg', './상품이미지/바지/슬랙스/setup trouser_mint gray2.jpg', './상품이미지/바지/슬랙스/setup trouser_mint gray3.jpg']",3
43,슈프림 쓰리턱 밴딩 와이드 팬츠,"94,050원","['./상품이미지/바지/슬랙스/슈프림 쓰리턱 밴딩 와이드 팬츠1.jpg', './상품이미지/바지/슬랙스/슈프림 쓰리턱 밴딩 와이드 팬츠2.jpg', './상품이미지/바지/슬랙스/슈프림 쓰리턱 밴딩 와이드 팬츠3.jpg']",3
44,Wideleg Trouser Pale khaki,"159,000원","['./상품이미지/바지/슬랙스/Wideleg Trouser Pale khaki1.jpg', './상품이미지/바지/슬랙스/Wideleg Trouser Pale khaki2.jpg']",2
45,Wideleg Trouser Black,"159,000원","['./상품이미지/바지/슬랙스/Wideleg Trouser Black1.jpg', './상품이미지/바지/슬랙스/Wideleg Trouser Black2.jpg']",2
46,MOCHA PANTS,"109,000원",['./상품이미지/바지/슬랙스/MOCHA PANTS1.jpg'],1
47,우먼즈 플루이드 슬림 스트레이트 슬랙스 A,"33,900원","['./상품이미지/바지/슬랙스/우먼즈 플루이드 슬림 스트레이트 슬랙스46.jpg', './상품이미지/바지/슬랙스/우먼즈 플루이드 슬림 스트레이트 슬랙스51.jpg', './상품이미지/바지/슬랙스/우먼즈 플루이드 슬림 스트레이트 슬랙스90.jpg']",3
48,셀러리 밴딩 팬츠 _3컬러,"48,000원",['./상품이미지/바지/슬랙스/셀러리 밴딩 팬츠 _3컬러1.jpg'],1
49,Signature Mood Slacks,"65,500원",['./상품이미지/바지/슬랙스/Signature Mood Slacks1.jpg'],1
50,하이웨스트 벨티드 와이드 팬츠 SWSLME4000,"125,100원","['./상품이미지/바지/슬랙스/하이웨스트 벨티드 와이드 팬츠 SWSLME40001.jpg', './상품이미지/바지/슬랙스/하이웨스트 벨티드 와이드 팬츠 SWSLME40002.jpg']",2
51,Wideleg Trouser Lilac pink,"159,000원","['./상품이미지/바지/슬랙스/Wideleg Trouser Lilac pink1.jpg', './상품이미지/바지/슬랙스/Wideleg Trouser Lilac pink2.jpg']",2
52,우먼즈 슬림 스트레이트 히든 밴딩 슬랙스 C,"32,900원","['./상품이미지/바지/슬랙스/우먼즈 슬림 스트레이트 히든 밴딩 슬랙스14.jpg', './상품이미지/바지/슬랙스/우먼즈 슬림 스트레이트 히든 밴딩 슬랙스31.jpg', './상품이미지/바지/슬랙스/우먼즈 슬림 스트레이트 히든 밴딩 슬랙스8.jpg']",3
53,빔레 와이드 팬츠 블랙,"152,100원","['./상품이미지/바지/슬랙스/빔레 와이드 팬츠 블랙1.jpg', './상품이미지/바지/슬랙스/빔레 와이드 팬츠 블랙2.jpg', './상품이미지/바지/슬랙스/빔레 와이드 팬츠 블랙3.jpg']",3
54,2112 세미 와이드 팬츠_ 블랙,"99,000원","['./상품이미지/바지/슬랙스/2112 세미 와이드 팬츠_ 블랙1.jpg', './상품이미지/바지/슬랙스/2112 세미 와이드 팬츠_ 블랙2.jpg', './상품이미지/바지/슬랙스/2112 세미 와이드 팬츠_ 블랙3.jpg']",3
55,2112 세미 와이드 팬츠_ 베이지,"99,000원","['./상품이미지/바지/슬랙스/2112 세미 와이드 팬츠_ 베이지1.jpg', './상품이미지/바지/슬랙스/2112 세미 와이드 팬츠_ 베이지2.jpg', './상품이미지/바지/슬랙스/2112 세미 와이드 팬츠_ 베이지3.jpg']",3
56,빔레 와이드 팬츠 아이보리,"152,100원","['./상품이미지/바지/슬랙스/빔레 와이드 팬츠 아이보리1.jpg', './상품이미지/바지/슬랙스/빔레 와이드 팬츠 아이보리2.jpg', './상품이미지/바지/슬랙스/빔레 와이드 팬츠 아이보리3.jpg']",3
57,STRAIGHT PINTUCK SLACKS,"71,100원","['./상품이미지/바지/슬랙스/STRAIGHT PINTUCK SLACKS1.jpg', './상품이미지/바지/슬랙스/STRAIGHT PINTUCK SLACKS2.jpg', './상품이미지/바지/슬랙스/STRAIGHT PINTUCK SLACKS3.jpg']",3
58,Edge slacks_BK,"55,000원","['./상품이미지/바지/슬랙스/Edge slacks_BK1.jpg', './상품이미지/바지/슬랙스/Edge slacks_BK2.jpg', './상품이미지/바지/슬랙스/Edge slacks_BK3.jpg']",3
59,울 블렌디드 원턱 와이드 팬츠,"62,100원",['./상품이미지/바지/슬랙스/울 블렌디드 원턱 와이드 팬츠1.jpg'],1
60,URBAN CHIC WIDE PANTS_BEIGE,"69,000원",['./상품이미지/바지/슬랙스/URBAN CHIC WIDE PANTS_BEIGE1.jpg'],1
61,URBAN CHIC WIDE PANTS_BLACK,"69,000원",['./상품이미지/바지/슬랙스/URBAN CHIC WIDE PANTS_BLACK1.jpg'],1
62,Edge slacks_IV,"55,000원","['./상품이미지/바지/슬랙스/Edge slacks_IV1.jpg', './상품이미지/바지/슬랙스/Edge slacks_IV2.jpg', './상품이미지/바지/슬랙스/Edge slacks_IV3.jpg']",3
63,Edge slacks_BE,"57,000원","['./상품이미지/바지/슬랙스/Edge slacks_BE1.jpg', './상품이미지/바지/슬랙스/Edge slacks_BE2.jpg', './상품이미지/바지/슬랙스/Edge slacks_BE3.jpg']",3
64,STITCH CHECK SLACKS,"64,800원","['./상품이미지/바지/슬랙스/STITCH CHECK SLACKS1.jpg', './상품이미지/바지/슬랙스/STITCH CHECK SLACKS2.jpg', './상품이미지/바지/슬랙스/STITCH CHECK SLACKS3.jpg']",3
65,하이웨스트 세미 롱 슬랙스 팬츠,"44,800원",['./상품이미지/바지/슬랙스/하이웨스트 세미 롱 슬랙스 팬츠1.jpg'],1
66,세미 부츠컷 슬랙스 MPT123  4color,"39,800원","['./상품이미지/바지/슬랙스/세미 부츠컷 슬랙스 MPT123  4color1.jpg', './상품이미지/바지/슬랙스/세미 부츠컷 슬랙스 MPT123  4color2.jpg', './상품이미지/바지/슬랙스/세미 부츠컷 슬랙스 MPT123  4color3.jpg']",3
67,Basic Straight Trousers Charcoal,"96,000원",['./상품이미지/바지/슬랙스/Basic Straight Trousers Charcoal1.jpg'],1
68,TWO TUCK WIDE WOOL PANTS GREY,"188,000원",['./상품이미지/바지/슬랙스/TWO TUCK WIDE WOOL PANTS GREY1.jpg'],1
69,Front Pleated Trousers Black,"129,000원",['./상품이미지/바지/슬랙스/Front Pleated Trousers Black1.jpg'],1
70,TWO TUCK WIDE WOOL PANTS BLACK,"188,000원",['./상품이미지/바지/슬랙스/TWO TUCK WIDE WOOL PANTS BLACK1.jpg'],1
71,LowWaist One Tuck Trousers Charcoal,"116,000원",['./상품이미지/바지/슬랙스/LowWaist One Tuck Trousers Charcoal1.jpg'],1
72,투버튼 사이드 슬릿 슬랙스 SWSLME4100,"125,100원","['./상품이미지/바지/슬랙스/투버튼 사이드 슬릿 슬랙스 SWSLME41001.jpg', './상품이미지/바지/슬랙스/투버튼 사이드 슬릿 슬랙스 SWSLME41002.jpg']",2
73,Basic Straight Trousers Gray,"96,000원",['./상품이미지/바지/슬랙스/Basic Straight Trousers Gray1.jpg'],1
74,HighRise Pleated Trousers Brown,"118,000원",['./상품이미지/바지/슬랙스/HighRise Pleated Trousers Brown1.jpg'],1
75,노멀 코튼 슬랙스 소프트 핑크,"86,700원",['./상품이미지/바지/슬랙스/노멀 코튼 슬랙스 소프트 핑크1.jpg'],1
76,Front Pleated Trousers Beige,"129,000원",['./상품이미지/바지/슬랙스/Front Pleated Trousers Beige1.jpg'],1
77,르닛 2111 와이드 밴딩 팬츠 _ 블랙,"99,000원","['./상품이미지/바지/슬랙스/르닛 2111 와이드 밴딩 팬츠 _ 블랙1.jpg', './상품이미지/바지/슬랙스/르닛 2111 와이드 밴딩 팬츠 _ 블랙2.jpg', './상품이미지/바지/슬랙스/르닛 2111 와이드 밴딩 팬츠 _ 블랙3.jpg']",3
78,HighRise Pleated Trousers Ivory,"118,000원",['./상품이미지/바지/슬랙스/HighRise Pleated Trousers Ivory1.jpg'],1
79,와이드 핀턱 슬랙스 화이트,"67,900원",['./상품이미지/바지/슬랙스/와이드 핀턱 슬랙스 화이트1.jpg'],1
80,LowWaist One Tuck Trousers Beige,"116,000원",['./상품이미지/바지/슬랙스/LowWaist One Tuck Trousers Beige1.jpg'],1
81,LowWaist One Tuck Trousers Cream,"116,000원",['./상품이미지/바지/슬랙스/LowWaist One Tuck Trousers Cream1.jpg'],1
82,HighRise Pleated Trousers Beige,"118,000원",['./상품이미지/바지/슬랙스/HighRise Pleated Trousers Beige1.jpg'],1
83,WOOL BLEND LONG WIDE SLACKS_BLACK,"62,550원","['./상품이미지/바지/슬랙스/WOOL BLEND LONG WIDE SLACKS_BLACK1.jpg', './상품이미지/바지/슬랙스/WOOL BLEND LONG WIDE SLACKS_BLACK2.jpg', './상품이미지/바지/슬랙스/WOOL BLEND LONG WIDE SLACKS_BLACK3.jpg']",3
84,Kower Slim Wide Pants,"128,000원",['./상품이미지/바지/슬랙스/Kower Slim Wide Pants1.jpg'],1
85,Viming Pants,"229,000원",['./상품이미지/바지/슬랙스/Viming Pants1.jpg'],1
86,Capella Pants,"120,000원",['./상품이미지/바지/슬랙스/Capella Pants1.jpg'],1
87,Sandra pin tuck pants_light beige,"93,750원","['./상품이미지/바지/슬랙스/Sandra pin tuck pants_light beige1.jpg', './상품이미지/바지/슬랙스/Sandra pin tuck pants_light beige2.jpg', './상품이미지/바지/슬랙스/Sandra pin tuck pants_light beige3.jpg']",3
88,by double stitch pants_Black,"86,250원","['./상품이미지/바지/슬랙스/by double stitch pants_Black1.jpg', './상품이미지/바지/슬랙스/by double stitch pants_Black2.jpg', './상품이미지/바지/슬랙스/by double stitch pants_Black3.jpg']",3
89,Sandra pin tuck pants_Dark navy,"93,750원","['./상품이미지/바지/슬랙스/Sandra pin tuck pants_Dark navy1.jpg', './상품이미지/바지/슬랙스/Sandra pin tuck pants_Dark navy2.jpg', './상품이미지/바지/슬랙스/Sandra pin tuck pants_Dark navy3.jpg']",3
