,상품명,가격,이미지 경로,이미지 개수
35,라이트 핑크 리넨 솔리드 컴포트핏 셔츠,"179,000원","['./상품이미지/상의/셔츠/라이트 핑크 리넨 솔리드 컴포트핏 셔츠1.jpg', './상품이미지/상의/셔츠/라이트 핑크 리넨 솔리드 컴포트핏 셔츠2.jpg', './상품이미지/상의/셔츠/라이트 핑크 리넨 솔리드 컴포트핏 셔츠3.jpg']",3
36,브라운 리넨 솔리드 컴포트핏 셔츠,"179,000원","['./상품이미지/상의/셔츠/브라운 리넨 솔리드 컴포트핏 셔츠1.jpg', './상품이미지/상의/셔츠/브라운 리넨 솔리드 컴포트핏 셔츠2.jpg', './상품이미지/상의/셔츠/브라운 리넨 솔리드 컴포트핏 셔츠3.jpg']",3
37,로열 블루 리넨 솔리드 컴포트핏 셔츠,"179,000원","['./상품이미지/상의/셔츠/로열 블루 리넨 솔리드 컴포트핏 셔츠1.jpg', './상품이미지/상의/셔츠/로열 블루 리넨 솔리드 컴포트핏 셔츠2.jpg', './상품이미지/상의/셔츠/로열 블루 리넨 솔리드 컴포트핏 셔츠3.jpg']",3
38,Copine  ASJF221KR26WHT,"178,000원","['./상품이미지/상의/셔츠/Copine  ASJF221KR26WHT1.jpg', './상품이미지/상의/셔츠/Copine  ASJF221KR26WHT2.jpg', './상품이미지/상의/셔츠/Copine  ASJF221KR26WHT3.jpg']",3
39,플루트 셔츠 마일드 스카이,"159,000원",['./상품이미지/상의/셔츠/플루트 셔츠 마일드 스카이1.jpg'],1
40,보이핏 셔츠 클래식 스카이,"159,000원",['./상품이미지/상의/셔츠/보이핏 셔츠 클래식 스카이1.jpg'],1
41,앨리스 프릴 카라 블라우스_그레이,"80,000원",['./상품이미지/상의/셔츠/앨리스 프릴 카라 블라우스_그레이1.jpg'],1
42,셔링 라운드 블라우스 아이보리,"69,000원",['./상품이미지/상의/셔츠/셔링 라운드 블라우스 아이보리1.jpg'],1
43,셔링 라운드 블라우스 크림 베이지,"69,000원",['./상품이미지/상의/셔츠/셔링 라운드 블라우스 크림 베이지1.jpg'],1
44,데일리 오버핏 셔츠 스카이블루,"69,000원",['./상품이미지/상의/셔츠/데일리 오버핏 셔츠 스카이블루1.jpg'],1
45,데일리 오버핏 셔츠 올리브,"69,000원",['./상품이미지/상의/셔츠/데일리 오버핏 셔츠 올리브1.jpg'],1
46,데일리 오버핏 셔츠 아이보리,"69,000원",['./상품이미지/상의/셔츠/데일리 오버핏 셔츠 아이보리1.jpg'],1
47,오버핏 스트라이프 포켓 셔츠 그레이,"58,000원",['./상품이미지/상의/셔츠/오버핏 스트라이프 포켓 셔츠 그레이1.jpg'],1
48,마일드 스트라이프 포켓 셔츠 블랙,"54,000원",['./상품이미지/상의/셔츠/마일드 스트라이프 포켓 셔츠 블랙1.jpg'],1
49,루즈 핏 코튼 셔츠 라이트 민트,"49,000원",['./상품이미지/상의/셔츠/루즈 핏 코튼 셔츠 라이트 민트1.jpg'],1
50,와펜 스몰 하우스로고 옥스포드 셔츠 라이트 블루,"66,600원","['./상품이미지/상의/셔츠/와펜 스몰 하우스로고 옥스포드 셔츠 라이트 블루1.jpg', './상품이미지/상의/셔츠/와펜 스몰 하우스로고 옥스포드 셔츠 라이트 블루2.jpg', './상품이미지/상의/셔츠/와펜 스몰 하우스로고 옥스포드 셔츠 라이트 블루3.jpg']",3
51,Copine  ASJF221KR26033,"178,000원","['./상품이미지/상의/셔츠/Copine  ASJF221KR260331.jpg', './상품이미지/상의/셔츠/Copine  ASJF221KR260332.jpg', './상품이미지/상의/셔츠/Copine  ASJF221KR260333.jpg']",3
52,Sasha Collage Printed Shirt White,"58,900원",['./상품이미지/상의/셔츠/Sasha Collage Printed Shirt White1.jpg'],1
53,Fluid Volume Top Blush pink,"139,000원","['./상품이미지/상의/셔츠/Fluid Volume Top Blush pink1.jpg', './상품이미지/상의/셔츠/Fluid Volume Top Blush pink2.jpg']",2
54,유니섹스 클래식 스트라이프 루즈핏 셔츠 민트,"49,000원",['./상품이미지/상의/셔츠/유니섹스 클래식 스트라이프 루즈핏 셔츠 민트1.jpg'],1
55,유니섹스 클래식 스트라이프 루즈핏 셔츠 블루,"49,000원",['./상품이미지/상의/셔츠/유니섹스 클래식 스트라이프 루즈핏 셔츠 블루1.jpg'],1
56,Lace Trimmed Blouse White,"179,000원","['./상품이미지/상의/셔츠/Lace Trimmed Blouse White1.jpg', './상품이미지/상의/셔츠/Lace Trimmed Blouse White2.jpg']",2
57,SET B릴렉서드 스트라이프 셔츠&타이,"39,650원","['./상품이미지/상의/셔츠/SET B릴렉서드 스트라이프 셔츠&타이1.jpg', './상품이미지/상의/셔츠/SET B릴렉서드 스트라이프 셔츠&타이2.jpg', './상품이미지/상의/셔츠/SET B릴렉서드 스트라이프 셔츠&타이3.jpg']",3
58,SI TP 5052 classic regularfit shirt_Ivory,"78,000원",['./상품이미지/상의/셔츠/SI TP 5052 classic regularfit shirt_Ivory1.jpg'],1
59,SI TP 5052 classic regularfit shirt_Sky blue,"78,000원",['./상품이미지/상의/셔츠/SI TP 5052 classic regularfit shirt_Sky blue1.jpg'],1
60,SI TP 5051 rona satin shirt_Navy,"87,000원",['./상품이미지/상의/셔츠/SI TP 5051 rona satin shirt_Navy1.jpg'],1
61,SI TP 5052 classic regularfit shirt_Blue stripe,"78,000원",['./상품이미지/상의/셔츠/SI TP 5052 classic regularfit shirt_Blue stripe1.jpg'],1
62,SI TP 5051 rona satin shirt_Pink beige,"87,000원",['./상품이미지/상의/셔츠/SI TP 5051 rona satin shirt_Pink beige1.jpg'],1
63,스카이 블루 텐셀 리넨 오픈 칼라 블라우스,"39,900원","['./상품이미지/상의/셔츠/스카이 블루 텐셀 리넨 오픈 칼라 블라우스1.jpg', './상품이미지/상의/셔츠/스카이 블루 텐셀 리넨 오픈 칼라 블라우스2.jpg', './상품이미지/상의/셔츠/스카이 블루 텐셀 리넨 오픈 칼라 블라우스3.jpg']",3
64,그레이 오버핏 데님 셔켓,"59,900원","['./상품이미지/상의/셔츠/그레이 오버핏 데님 셔켓1.jpg', './상품이미지/상의/셔츠/그레이 오버핏 데님 셔켓2.jpg', './상품이미지/상의/셔츠/그레이 오버핏 데님 셔켓3.jpg']",3
65,네이비 리본 끈 자수 뷔스티에 블라우스,"35,900원","['./상품이미지/상의/셔츠/네이비 리본 끈 자수 뷔스티에 블라우스1.jpg', './상품이미지/상의/셔츠/네이비 리본 끈 자수 뷔스티에 블라우스2.jpg', './상품이미지/상의/셔츠/네이비 리본 끈 자수 뷔스티에 블라우스3.jpg']",3
66,화이트 텐셀 리넨 오픈 칼라 블라우스,"39,900원","['./상품이미지/상의/셔츠/화이트 텐셀 리넨 오픈 칼라 블라우스1.jpg', './상품이미지/상의/셔츠/화이트 텐셀 리넨 오픈 칼라 블라우스2.jpg', './상품이미지/상의/셔츠/화이트 텐셀 리넨 오픈 칼라 블라우스3.jpg']",3
67,네이비 자수 블라우스,"49,900원","['./상품이미지/상의/셔츠/네이비 자수 블라우스1.jpg', './상품이미지/상의/셔츠/네이비 자수 블라우스2.jpg', './상품이미지/상의/셔츠/네이비 자수 블라우스3.jpg']",3
68,앨리스 프릴 카라 블라우스_아이보리,"80,000원","['./상품이미지/상의/셔츠/앨리스 프릴 카라 블라우스_아이보리1.jpg', './상품이미지/상의/셔츠/앨리스 프릴 카라 블라우스_아이보리2.jpg']",2
69,OPEN COLLAR BLOUSE,"119,000원",['./상품이미지/상의/셔츠/OPEN COLLAR BLOUSE1.jpg'],1
70,라벤더 리넨 컴포트핏 스트라이프 셔츠,"179,000원","['./상품이미지/상의/셔츠/라벤더 리넨 컴포트핏 스트라이프 셔츠1.jpg', './상품이미지/상의/셔츠/라벤더 리넨 컴포트핏 스트라이프 셔츠2.jpg', './상품이미지/상의/셔츠/라벤더 리넨 컴포트핏 스트라이프 셔츠3.jpg']",3
71,앨리스 프릴 카라 블라우스_민트,"80,000원","['./상품이미지/상의/셔츠/앨리스 프릴 카라 블라우스_민트1.jpg', './상품이미지/상의/셔츠/앨리스 프릴 카라 블라우스_민트2.jpg']",2
72,블루 리넨 컴포트핏 스트라이프 셔츠,"179,000원","['./상품이미지/상의/셔츠/블루 리넨 컴포트핏 스트라이프 셔츠1.jpg', './상품이미지/상의/셔츠/블루 리넨 컴포트핏 스트라이프 셔츠2.jpg', './상품이미지/상의/셔츠/블루 리넨 컴포트핏 스트라이프 셔츠3.jpg']",3
73,프렌치 플리츠 블라우스 아이보리,"78,400원",['./상품이미지/상의/셔츠/프렌치 플리츠 블라우스 아이보리1.jpg'],1
74,Fluid Volume Top Ivory,"139,000원","['./상품이미지/상의/셔츠/Fluid Volume Top Ivory1.jpg', './상품이미지/상의/셔츠/Fluid Volume Top Ivory2.jpg']",2
75,프렌치 플리츠 블라우스 블랙,"78,400원",['./상품이미지/상의/셔츠/프렌치 플리츠 블라우스 블랙1.jpg'],1
76,Vintage Denim Shirt,"84,000원","['./상품이미지/상의/셔츠/Vintage Denim Shirt1.jpg', './상품이미지/상의/셔츠/Vintage Denim Shirt2.jpg', './상품이미지/상의/셔츠/Vintage Denim Shirt3.jpg']",3
77,우먼 클래식 로고 루즈핏 셔츠 베이지,"49,000원",['./상품이미지/상의/셔츠/우먼 클래식 로고 루즈핏 셔츠 베이지1.jpg'],1
78,우먼 클래식 로고 루즈핏 셔츠 소라,"49,000원",['./상품이미지/상의/셔츠/우먼 클래식 로고 루즈핏 셔츠 소라1.jpg'],1
79,Ruffle basic shirt,"72,200원",['./상품이미지/상의/셔츠/Ruffle basic shirt1.jpg'],1
80,Hidden button pocket shirt,"72,200원",['./상품이미지/상의/셔츠/Hidden button pocket shirt1.jpg'],1
81,우먼 클래식 로고 루즈핏 셔츠 화이트,"49,000원",['./상품이미지/상의/셔츠/우먼 클래식 로고 루즈핏 셔츠 화이트1.jpg'],1
82,코스모스 화이트 셔츠,"55,200원","['./상품이미지/상의/셔츠/코스모스 화이트 셔츠1.jpg', './상품이미지/상의/셔츠/코스모스 화이트 셔츠2.jpg']",2
83,우먼 클래식 로고 루즈핏 셔츠 핑크,"49,000원",['./상품이미지/상의/셔츠/우먼 클래식 로고 루즈핏 셔츠 핑크1.jpg'],1
84,백 플리츠 셔츠,"129,000원",['./상품이미지/상의/셔츠/백 플리츠 셔츠1.jpg'],1
85,우먼 클래식 로고 루즈핏 셔츠 네이비,"49,000원",['./상품이미지/상의/셔츠/우먼 클래식 로고 루즈핏 셔츠 네이비1.jpg'],1
86,링클 프리 베이직 셔츠_PINK,"55,800원",['./상품이미지/상의/셔츠/링클 프리 베이직 셔츠_PINK1.jpg'],1
87,Volume sleeve shirt jacket in Yellow beige,"87,400원",['./상품이미지/상의/셔츠/Volume sleeve shirt jacket in Yellow beige1.jpg'],1
88,Volume sleeve shirt jacket in White,"87,400원",['./상품이미지/상의/셔츠/Volume sleeve shirt jacket in White1.jpg'],1
89,Modal wide collar shirt in Blue,"71,250원",['./상품이미지/상의/셔츠/Modal wide collar shirt in Blue1.jpg'],1
